Store Ranking,,,,,,,,,,,
Time:Latest 104 Weeks Thu-Wed Ending 012925,,,,,,,,,,,
Product:Soft-Drink,,,,,,,,,,,
Product2:Products by Vendor/Brand,,,,,,,,,,,
Vendor:All Vendors,,,,,,,,,,,
Sobeys Brand:All Brands,,,,,,,,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,,,,,,,,
Geography,Location No,Store No,Store Name,Division Name,Format Name,Banners Name,Store Address,Store Status - 52 Weeks,City Name,Province Name,Postal Code
Store 74,25048,74,Store 74,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 75,11373,75,Store 75,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 76,11374,76,Store 76,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 77,11376,77,Store 77,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 78,24628,78,Store 78,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 79,26924,79,Store 79,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,NEW,UNKNOWN,ON,UNKNOWN
Store 80,14006,80,Store 80,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 81,18124,81,Store 81,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 82,22628,82,Store 82,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 83,22629,83,Store 83,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 84,11386,84,Store 84,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 85,11390,85,Store 85,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 86,11393,86,Store 86,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 87,13906,87,Store 87,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 88,11407,88,Store 88,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 89,11408,89,Store 89,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 90,11409,90,Store 90,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 91,13405,91,Store 91,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 92,13048,92,Store 92,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 93,13049,93,Store 93,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 94,11492,94,Store 94,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 95,11435,95,Store 95,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 96,11442,96,Store 96,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 97,11444,97,Store 97,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 98,11446,98,Store 98,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 99,11493,99,Store 99,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 100,17045,100,Store 100,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 101,22,101,Store 101,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 102,23168,102,Store 102,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 103,23404,103,Store 103,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 104,24864,104,Store 104,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 105,11455,105,Store 105,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 106,17624,106,Store 106,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 107,25584,107,Store 107,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 108,11316,108,Store 108,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 109,13046,109,Store 109,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 110,11472,110,Store 110,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 111,11473,111,Store 111,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 112,11479,112,Store 112,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 113,11481,113,Store 113,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 114,12263,114,Store 114,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 115,12264,115,Store 115,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
