Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 050422,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 24,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 24,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,335.58,63
Store 24,Pepsi Throwback 355 Ml,00006900002088,17.96,6
Store 24,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 24,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,299.7,45
Store 24,Comp Soft Drink Cola 1332 Ml,00005574255844,19.98,3
Store 24,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,39.96,6
Store 24,Cocacola Classic 8520 Ml,00006700002011,186.06,21
Store 24,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,44.94,9
Store 25,7Up Soft Drink Diet 1332 Ml,00006540001808,125.86,21
Store 25,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,79.92,12
Store 25,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 25,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,79.9,15
Store 25,Fanta Soda Pop Orange 1332 Ml,00006700002153,39.96,6
Store 25,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 25,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,59.94,9
Store 25,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,149.8,30
Store 25,Comp Soft Drink Cola 1332 Ml,00005574255844,199.8,30
Store 25,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,119.88,18
Store 25,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,43.96,6
Store 25,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,29.96,6
Store 26,Pepsi Zero Sugar 1332 Ml,00006900015936,19.98,3
Store 26,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,95.88,18
Store 26,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,59.94,9
Store 26,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,14.98,3
Store 26,Comp Soft Drink Cola 1332 Ml,00005574255844,59.94,9
