Week End Date,Store No,Product,Dollar Sales,Unit Sales,UPC ID,Geography
1/22/2025,507,7Up Soft Drink Diet 1332 Ml,95.92,12,00006540001808,Store 507
1/22/2025,229,7Up Soft Drink Diet 1332 Ml,95.92,12,00006540001808,Store 229
1/22/2025,179,7Up Soft Drink Diet 1332 Ml,95.92,12,00006540001808,Store 179
1/22/2025,26,7Up Soft Drink Diet 1332 Ml,95.92,12,00006540001808,Store 26
1/8/2025,497,7Up Soft Drink Diet 1332 Ml,95.92,12,00006540001808,Store 497
1/15/2025,724,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 724
1/15/2025,684,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 684
1/15/2025,353,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 353
1/22/2025,853,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 853
1/22/2025,557,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 557
1/8/2025,630,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 630
1/8/2025,585,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 585
1/8/2025,410,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 410
1/1/2025,904,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 904
1/1/2025,665,Schweppe Tonic Water 1332 Ml,95.92,12,00001660001012,Store 665
1/15/2025,690,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 690
1/15/2025,669,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 669
1/15/2025,667,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 667
1/22/2025,669,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 669
1/22/2025,382,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 382
1/8/2025,585,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 585
1/1/2025,725,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 725
1/1/2025,612,Schweppe Ginger Ale 1332 Ml,95.92,12,00001660001010,Store 612
1/8/2025,442,Schwepps Gingerale Cn 24X355Ml 355 Ml,95.92,12,00001660052100,Store 442
1/15/2025,425,Schwepps Gingerale Cn 24X355Ml 355 Ml,95.92,12,00001660052100,Store 425
1/1/2025,586,Canaddry Gingerale Diet 4260 Ml,95.92,12,00006210001894,Store 586
1/1/2025,904,Schwepps Gingerale Cn 24X355Ml 355 Ml,95.92,12,00001660052100,Store 904
1/1/2025,444,Schwepps Gingerale Cn 24X355Ml 355 Ml,95.92,12,00001660052100,Store 444
1/22/2025,842,Comp Soft Drink Cola 1332 Ml,95.92,12,00005574255844,Store 842
1/22/2025,762,Comp Soft Drink Cola 1332 Ml,95.92,12,00005574255844,Store 762
1/22/2025,212,Comp Soft Drink Cola 1332 Ml,95.92,12,00005574255844,Store 212
1/22/2025,102,Comp Soft Drink Cola 1332 Ml,95.92,12,00005574255844,Store 102
1/22/2025,50,Comp Soft Drink Cola 1332 Ml,95.92,12,00005574255844,Store 50
