Store Number,Store Name,Address,City Name,Province Name,Postal Code,Banner Name,Store Status
6663,Store 6663,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6678,Store 6678,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6679,Store 6679,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6608,Store 6608,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6665,Store 6665,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
6675,Store 6675,Unknown,Unknown,ALBERTA,Unknown,SAVE-ON-FOODS,ACTIVE
0929,Store 0929,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0150,Store 0150,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,INACTIVE
0904,Store 0904,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0981,Store 0981,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2208,Store 2208,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0902,Store 0902,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0907,Store 0907,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0996,Store 0996,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2221,Store 2221,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2225,Store 2225,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2228,Store 2228,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2212,Store 2212,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0955,Store 0955,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0944,Store 0944,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0952,Store 0952,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2213,Store 2213,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2237,Store 2237,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2215,Store 2215,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0991,Store 0991,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2290,Store 2290,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0915,Store 0915,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2216,Store 2216,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2202,Store 2202,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0936,Store 0936,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0943,Store 0943,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0963,Store 0963,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0933,Store 0933,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0982,Store 0982,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2217,Store 2217,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2223,Store 2223,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2220,Store 2220,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2222,Store 2222,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2214,Store 2214,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2257,Store 2257,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0931,Store 0931,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2206,Store 2206,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2209,Store 2209,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2210,Store 2210,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2211,Store 2211,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0932,Store 0932,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0980,Store 0980,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2224,Store 2224,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2229,Store 2229,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2231,Store 2231,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2260,Store 2260,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0930,Store 0930,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0934,Store 0934,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2227,Store 2227,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0984,Store 0984,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0992,Store 0992,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2242,Store 2242,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0928,Store 0928,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0935,Store 0935,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0938,Store 0938,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2243,Store 2243,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0946,Store 0946,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2247,Store 2247,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0947,Store 0947,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
